ID,Image,Name,Nickname,Game,Archetype,Position,Element,Team,Power,Control,Technique,Pressure,Physical,Agility,Intelligence,Total,Age group,School year,Gender,Role
1503.0,https://dxi4wb638ujep.cloudfront.net/1/k/j/r/jrv1rjwatos.png,Lynne Mandel,Mandel,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,MF,Mountain,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Female,Player
1504.0,https://dxi4wb638ujep.cloudfront.net/1/k/s/5/s5eugcwga9e.png,Craig Placid,Placid,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1505.0,https://dxi4wb638ujep.cloudfront.net/1/k/y/w/yw9hvbfo1d0.png,Leon Morcey,Morcey,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,DF,Mountain,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1506.0,https://dxi4wb638ujep.cloudfront.net/1/k/d/-/d-ma4-jsyuc.png,Dom Edarry,Edarry,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,MF,Mountain,Unaffiliated,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
1507.0,https://dxi4wb638ujep.cloudfront.net/1/k/3/u/3uzyjzgw_r0.png,Jay Asher,Asher,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,DF,Mountain,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1508.0,https://dxi4wb638ujep.cloudfront.net/1/k/g/8/g8c5kmgksic.png,Toby Cohill,Cohill,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,DF,Fire,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1509.0,https://dxi4wb638ujep.cloudfront.net/1/k/i/u/iunykfs_t30.png,Nolene Ider,Ider,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,MF,Forest,Unaffiliated,140,152,147,121,123,113,135,931,Middle School,Grade 8,Female,Player
1510.0,https://dxi4wb638ujep.cloudfront.net/1/k/5/8/588tn6kfaec.png,Hoots Knightly,Knightly,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1511.0,https://dxi4wb638ujep.cloudfront.net/1/k/z/t/ztfm0n_n1ks.png,Bash Beaton,Bash,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Mountain,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1512.0,https://dxi4wb638ujep.cloudfront.net/1/k/o/7/o7uhzyz3yxe.png,Terry Toolan,Toolan,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Wind,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 7,Male,Player
1513.0,https://dxi4wb638ujep.cloudfront.net/1/k/q/a/qapb3blbdre.png,Callum Biddy,Biddy,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,MF,Mountain,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1514.0,https://dxi4wb638ujep.cloudfront.net/1/k/b/y/byy6a-thwis.png,Alan Sumner,Sumner,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,DF,Mountain,Unaffiliated,114,121,119,142,149,124,166,935,Middle School,Grade 7,Male,Player
1515.0,https://dxi4wb638ujep.cloudfront.net/1/k/7/d/7d7pjjypfcc.png,Trixy Wonder,Wonder,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,MF,Wind,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Female,Player
1516.0,https://dxi4wb638ujep.cloudfront.net/1/k/k/1/k1kukc-tox0.png,Colet First,First,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,DF,Forest,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1517.0,https://dxi4wb638ujep.cloudfront.net/1/k/-/f/-f12vr9xpoc.png,Mac Gabbon,Gabbon,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,FW,Forest,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
1518.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/3/p3ex4ubli90.png,Tip Bolster,Bolster,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,DF,Fire,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1519.0,https://dxi4wb638ujep.cloudfront.net/1/k/h/f/hffaivscdru.png,Draco Scallon,Scallon,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,FW,Wind,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1520.0,https://dxi4wb638ujep.cloudfront.net/1/k/q/3/q3u7pq04ui8.png,Sofia Brashier,Brashier,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Female,Player
1521.0,https://dxi4wb638ujep.cloudfront.net/1/k/w/y/wynocnbwbcm.png,Tam Boyish,Boyish,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,MF,Wind,Unaffiliated,140,152,147,121,123,113,135,931,Middle School,Grade 8,Female,Player
1522.0,https://dxi4wb638ujep.cloudfront.net/1/k/b/w/bw8vxynk2xk.png,Mat Halled,Halled,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,DF,Fire,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1523.0,https://dxi4wb638ujep.cloudfront.net/1/k/d/r/dr7zfr1mz3k.png,James Strang,Strang,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1524.0,https://dxi4wb638ujep.cloudfront.net/1/k/y/5/y5ksyutceem.png,Ian Watchen,Watchen,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,MF,Forest,Unaffiliated,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
1525.0,https://dxi4wb638ujep.cloudfront.net/1/k/s/w/swpnhjmurk8.png,Rose Snelgrove,Snelgrove,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Player
1526.0,https://dxi4wb638ujep.cloudfront.net/1/k/j/-/j-ygm2augxu.png,Bert Emmerson,Emmerson,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1527.0,https://dxi4wb638ujep.cloudfront.net/1/k/x/u/xune97dmho8.png,Irving Gusher,Gusher,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Wind,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1528.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/8/m8w_qel2mbu.png,Lionel Silent,Silent,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,GK,Fire,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 7,Male,Player
1529.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/4/m4dnme7eywc.png,Owen Rage,Rage,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,DF,Mountain,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1530.0,https://dxi4wb638ujep.cloudfront.net/1/k/9/q/9qysh7d-fd0.png,Alice Nutty,Nutty,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,DF,Fire,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 7,Female,Player
1531.0,https://dxi4wb638ujep.cloudfront.net/1/k/d/_/d_rzymo2qje.png,Conrad Jacket,Jacket,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,MF,Mountain,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1532.0,https://dxi4wb638ujep.cloudfront.net/1/k/s/x/sxg4fzomhqs.png,Hilda Bronski,Bronski,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,FW,Fire,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Female,Player
1533.0,https://dxi4wb638ujep.cloudfront.net/1/k/u/2/u2nkxacgcws.png,Clint Peacock,Peacock,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,MF,Mountain,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1534.0,https://dxi4wb638ujep.cloudfront.net/1/k/f/e/fewfc_6avle.png,Pace Maker,Maker,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1535.0,https://dxi4wb638ujep.cloudfront.net/1/k/_/x/_x1wpipsaf0.png,Vanity Percy,Percy,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,GK,Mountain,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Female,Player
1536.0,https://dxi4wb638ujep.cloudfront.net/1/k/o/z/ozeridpo32c.png,Phil Pagoda,Pagoda,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,GK,Mountain,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
1537.0,https://dxi4wb638ujep.cloudfront.net/1/k/6/z/6z7jtqqkqj0.png,Niki Colbeck,Colbeck,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,DF,Fire,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Player
1538.0,https://dxi4wb638ujep.cloudfront.net/1/k/l/b/lbko-vmw96c.png,Guy Pinnay,Pinnay,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,MF,Forest,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1539.0,https://dxi4wb638ujep.cloudfront.net/1/k/l/z/lzrlkuf5cw8.png,Wayne Fluke,Fluke,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,GK,Mountain,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
1540.0,https://dxi4wb638ujep.cloudfront.net/1/k/u/b/ubgejrjdxlu.png,Red Dayers,Deer,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,DF,Mountain,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1541.0,https://dxi4wb638ujep.cloudfront.net/1/k/0/0/00dxamwlefk.png,Shay Diebold,Diebold,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,FW,Forest,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1542.0,https://dxi4wb638ujep.cloudfront.net/1/k/f/c/fcyq3zwxp2m.png,Tigh Gerwhite,Tiger,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,FW,Mountain,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
1543.0,https://dxi4wb638ujep.cloudfront.net/1/k/h/9/h91mzqidswm.png,Cerise Crane,Phoenix,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,MF,Fire,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Female,Player
1544.0,https://dxi4wb638ujep.cloudfront.net/1/k/2/v/2vet0venbdk.png,Drack Gorn,Dragon,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 7,Male,Player
1545.0,https://dxi4wb638ujep.cloudfront.net/1/k/w/6/w6nynixv0ju.png,Terry Pinn,Tortoise,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,GK,Forest,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
1546.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/s/nsw5k3xvzq8.png,Justin Cush,Cush,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,GK,Fire,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 7,Male,Player
1547.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/4/t4ph76u3-vu.png,Bert McClure,McClure,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1548.0,https://dxi4wb638ujep.cloudfront.net/1/k/i/q/iqyawfyntc8.png,Richard Trogg,Trogg,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1549.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/0/n0ow5t86z6c.png,Shirly Quirk,Quirk,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Player
1550.0,https://dxi4wb638ujep.cloudfront.net/1/k/8/c/8c_3usaa0j0.png,Elias Lens,Lens,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,MF,Forest,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1551.0,https://dxi4wb638ujep.cloudfront.net/1/k/c/z/czcchpvibpe.png,Terry Dryden,Dryden,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,MF,Fire,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1552.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/b/tbtjqwjysas.png,Ardel Kernel,Kernel,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,DF,Mountain,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1553.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/6/v6q_epbepcs.png,Carl Belcher,Belcher,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,GK,Forest,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
1554.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/s/esbepw9keve.png,Mal Maroon,Maroon,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,DF,Wind,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1555.0,https://dxi4wb638ujep.cloudfront.net/1/k/-/9/-94r6lisxp0.png,Ralph Fary,Fary,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Forest,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
1556.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/v/pvjkx0uwc8c.png,Floyd Spades,Spades,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,MF,Mountain,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1557.0,https://dxi4wb638ujep.cloudfront.net/1/k/7/_/7_2sm5t07d0.png,Remy Diggun,Diggun,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,DF,Forest,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1558.0,https://dxi4wb638ujep.cloudfront.net/1/k/k/x/kxhzlglowwc.png,Bern Macmahon,Macmahon,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,MF,Forest,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1559.0,https://dxi4wb638ujep.cloudfront.net/1/k/k/_/k_c-rhch3c8.png,Wally Cooper,Cooper,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,DF,Forest,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1560.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/x/vxtf84k9avu.png,Griff Hardcasel,Hardcasel,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 7,Male,Player
1561.0,https://dxi4wb638ujep.cloudfront.net/1/k/1/4/14oqvlr1vpk.png,Pat Lubow,Lubow,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,DF,Forest,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1562.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/q/eq_lca3pc8m.png,Wilma Morgan,Morgan,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,GK,Fire,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 7,Female,Player
1563.0,https://dxi4wb638ujep.cloudfront.net/1/k/g/x/gx4xsdljh6m.png,Carys Chaparon,Chaparon,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,FW,Wind,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Female,Player
1564.0,https://dxi4wb638ujep.cloudfront.net/1/k/3/z/3zj2b8dzqjk.png,Claire Hostess,Hostess,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Female,Player
1565.0,https://dxi4wb638ujep.cloudfront.net/1/k/x/2/x2qdsh2rfpu.png,Katy Punter,Punter,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,DF,Forest,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Player
1566.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/e/mebi_eqrya8.png,Pete Pimento,Pimento,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,FW,Fire,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
1567.0,https://dxi4wb638ujep.cloudfront.net/1/k/s/0/s0k6ottjvlu.png,Mary Hugland,Hugland,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,GK,Mountain,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Female,Player
1568.0,https://dxi4wb638ujep.cloudfront.net/1/k/j/c/jcvbjs1z4w8.png,Lee Screener,Screener,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,DF,Forest,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1569.0,https://dxi4wb638ujep.cloudfront.net/1/k/t/0/t0aqnlfghdu.png,Camilla Textor,Textor,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,FW,Wind,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Female,Player
1570.0,https://dxi4wb638ujep.cloudfront.net/1/k/c/c/ccrxga58qw8.png,Bish Beaton,Bish,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Mountain,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1571.0,https://dxi4wb638ujep.cloudfront.net/1/k/8/z/8ziezhm0fqm.png,Simeon Squareyes,Squareyes,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,FW,Fire,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
1572.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/b/nb5le4qoyjk.png,Stu Borneman,Borneman,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,DF,Forest,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1573.0,https://dxi4wb638ujep.cloudfront.net/1/k/p/6/p6-5wh4i3lk.png,Herbie Garnet,Garnet,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,GK,Forest,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
1574.0,https://dxi4wb638ujep.cloudfront.net/1/k/-/s/-spydeeyawm.png,Arvin Inkwell,Inkwell,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1575.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/9/e9stodrqv28.png,Rayce Sprinton,Sprinton,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,MF,Wind,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1576.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/v/vvdmj8nqcfu.png,Dreama Bartle,Bartle,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Fire,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 7,Female,Player
1577.0,https://dxi4wb638ujep.cloudfront.net/1/k/b/_/b_iusxoil68.png,Jane Ledbelly,Ledbelly,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,DF,Forest,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Player
1578.0,https://dxi4wb638ujep.cloudfront.net/1/k/q/x/qxt1_ooyiju.png,Dory O'Bonn,O'Bonn,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Player
1579.0,https://dxi4wb638ujep.cloudfront.net/1/k/e/_/e_i4lph7pl0.png,Selma Heaver,Heaver,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,GK,Wind,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Female,Player
1580.0,https://dxi4wb638ujep.cloudfront.net/1/k/1/x/1x5ziwhbewc.png,Kath Leaflin,Leaflin,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,DF,Fire,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 7,Female,Player
1581.0,https://dxi4wb638ujep.cloudfront.net/1/k/v/4/v4asbtyjx2s.png,Marg Shuttle,Shuttle,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,MF,Fire,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Female,Player
1582.0,https://dxi4wb638ujep.cloudfront.net/1/k/k/q/kqrn2suzcfe.png,Duke Scrubine,Scrubine,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,GK,Mountain,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 7,Male,Player
1583.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/x/mxsrylgfzde.png,Waylon Tripp,Tripp,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,FW,Wind,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1584.0,https://dxi4wb638ujep.cloudfront.net/1/k/x/z/xzdw10gl0ws.png,Jim Bunner,Bunner,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,GK,Mountain,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
1585.0,https://dxi4wb638ujep.cloudfront.net/1/k/3/2/32-fmpvtbqc.png,Jon Izumo,Izumo,Inazuma Eleven 2: Firestorm / Blizzard,Justicia,FW,Forest,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1586.0,https://dxi4wb638ujep.cloudfront.net/1/k/g/e/gepklwzxsj0.png,Del Brighton,Brighton,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,FW,Mountain,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1587.0,https://dxi4wb638ujep.cloudfront.net/1/k/y/0/y0w86bw1lcc.png,Haden Safe,Safe,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,FW,Fire,Unaffiliated,165,156,142,116,113,113,124,929,Middle School,Grade 8,Male,Player
1588.0,https://dxi4wb638ujep.cloudfront.net/1/k/d/c/dcbdxkwpmv0.png,Lisle Plotter,Plotter,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Wind,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Male,Player
1589.0,https://dxi4wb638ujep.cloudfront.net/1/k/_/i/_ixm0hlfn8e.png,Fen Skates,Skates,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,FW,Fire,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Female,Player
1590.0,https://dxi4wb638ujep.cloudfront.net/1/k/o/k/okmtzed_kps.png,Rhoda Dough,Dough,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,DF,Forest,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Player
1591.0,https://dxi4wb638ujep.cloudfront.net/1/k/u/l/ulfykd23_vc.png,Neil Seating,Seating,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,MF,Wind,Unaffiliated,135,156,158,116,113,113,140,931,Middle School,Grade 8,Male,Player
1592.0,https://dxi4wb638ujep.cloudfront.net/1/k/f/n/fn05n8qnsc0.png,Flo Nighting,Nighting,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Female,Player
1593.0,https://dxi4wb638ujep.cloudfront.net/1/k/d/s/dszljlchxa0.png,Elinor Maven,Maven,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,FW,Forest,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Female,Player
1594.0,https://dxi4wb638ujep.cloudfront.net/1/k/s/e/secekakb6pc.png,Kay Gateley,Gateley,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,FW,Fire,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 8,Female,Player
1595.0,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrhx3hrtpjs.png,Dexter Caise,Caise,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,DF,Wind,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1596.0,https://dxi4wb638ujep.cloudfront.net/1/k/9/d/9dqqa43pi6e.png,Serena Besse,Besse,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,MF,Forest,Unaffiliated,140,152,147,121,123,113,135,931,Middle School,Grade 7,Female,Player
1597.0,https://dxi4wb638ujep.cloudfront.net/1/k/j/p/jpvir10lffs.png,Adrian Heartly,Heartly,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,DF,Forest,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
1598.0,https://dxi4wb638ujep.cloudfront.net/1/k/4/b/4bepgksxo2e.png,Cary Fearless,Fearless,Inazuma Eleven 2: Firestorm / Blizzard,Afinidad,FW,Fire,Unaffiliated,155,151,137,121,119,112,134,929,Middle School,Grade 7,Male,Player
1599.0,https://dxi4wb638ujep.cloudfront.net/1/k/w/p/wpfkclb4jak.png,Wally Waymire,Waymire,Inazuma Eleven 2: Firestorm / Blizzard,Brecha,DF,Wind,Unaffiliated,120,123,127,135,142,123,155,925,Middle School,Grade 8,Male,Player
1600.0,https://dxi4wb638ujep.cloudfront.net/1/k/n/b/nb0fx09ckpm.png,Ted Autumn,Autumn,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,GK,Wind,Unaffiliated,119,130,123,133,144,152,131,932,Middle School,Grade 8,Male,Player
1601.0,https://dxi4wb638ujep.cloudfront.net/1/k/h/u/huxwipikrj8.png,Boomer Smolen,Smolen,Inazuma Eleven 2: Firestorm / Blizzard,Juego Sucio,GK,Mountain,Unaffiliated,117,128,120,135,141,145,128,914,Middle School,Grade 8,Male,Player
1602.0,https://dxi4wb638ujep.cloudfront.net/1/k/2/g/2gmrpwuw86u.png,Hank Ershef,Ershef,Inazuma Eleven 2: Firestorm / Blizzard,Contraataque,MF,Forest,Unaffiliated,140,152,147,121,123,113,135,931,Middle School,Grade 8,Male,Player
1603.0,https://dxi4wb638ujep.cloudfront.net/1/k/0/n/0nhnhp8c58u.png,Tim Opener,Opener,Inazuma Eleven 2: Firestorm / Blizzard,Tensión,DF,Wind,Unaffiliated,114,119,116,142,148,121,165,925,Middle School,Grade 8,Male,Player
